split,video_id,calibration_status,residual_median_px,residual_p95_px,ransac_inlier_ratio,black_key_anchor_count,method,notes,json_path,video_path,skipped_existing,elapsed_s
train,2024-03-13_11-32-42,failed,4.9506330490112305,165.71053466796863,0.68,35,black_key,method=black_key_ransac we_corr=0.619 we_med=5.46 bk_med=4.95 nc_med=12.09 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-13_11-32-42.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-13_11-32-42.mp4,False,2.7
train,2024-03-15_22-54-26,failed,6.688160419464111,28.272963523864746,0.42857142857142855,36,black_key,method=black_key_ransac we_corr=0.583 we_med=8.32 bk_med=6.69 nc_med=10.93 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-15_22-54-26.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-15_22-54-26.mp4,False,2.74
train,2024-03-17_18-54-44,failed,4.678997993469238,33.4822184562683,0.75,32,white_edge,method=white_edge_correlation we_corr=0.526 we_med=4.68 bk_med=5.71 nc_med=12.73 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-17_18-54-44.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-17_18-54-44.mp4,False,2.77
train,2024-03-18_04-15-06,accepted_loose,3.2079126834869385,22.174471855163574,0.8,31,white_edge,method=white_edge_correlation we_corr=0.566 we_med=3.21 bk_med=11.06 nc_med=13.01 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-18_04-15-06.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-18_04-15-06.mp4,False,2.72
train,2024-03-26_16-33-49,failed,5.055797576904297,26.45761976242065,0.34615384615384615,34,white_edge,method=white_edge_correlation we_corr=0.548 we_med=5.06 bk_med=7.14 nc_med=11.65 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-26_16-33-49.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-26_16-33-49.mp4,False,2.78
train,2024-03-27_11-49-04,accepted_loose,3.2566206455230713,22.592155456542965,0.44,33,white_edge,method=white_edge_correlation we_corr=0.554 we_med=3.26 bk_med=9.88 nc_med=12.32 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-03-27_11-49-04.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-27_11-49-04.mp4,False,2.58
train,2024-04-08_22-49-18,failed,5.288928985595703,28.2540283203125,0.3,29,white_edge,method=white_edge_correlation we_corr=0.596 we_med=5.29 bk_med=11.25 nc_med=12.76 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-04-08_22-49-18.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_22-49-18.mp4,False,2.85
train,2024-04-08_23-10-23,failed,10.36917495727539,32.21422519683836,0.8095238095238095,30,white_edge,method=white_edge_correlation we_corr=0.539 we_med=10.37 bk_med=12.67 nc_med=13.54 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-04-08_23-10-23.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_23-10-23.mp4,False,2.97
train,2024-04-08_23-26-19,accepted_loose,3.2551913261413574,26.05817699432373,0.7727272727272727,31,white_edge,method=white_edge_correlation we_corr=0.581 we_med=3.26 bk_med=11.52 nc_med=13.47 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-04-08_23-26-19.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_23-26-19.mp4,False,2.97
train,2024-04-08_23-42-45,failed,5.011518478393555,26.875634860992424,0.45,28,white_edge,method=white_edge_correlation we_corr=0.560 we_med=5.01 bk_med=9.02 nc_med=11.92 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-04-08_23-42-45.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_23-42-45.mp4,False,3.0
