epoch,checkpoint,calibration_path,calibration_onset_open,calibration_offset_open,calibration_ev_f1_mean,eval_ev_f1_mean,eval_ev_f1_mean_anypitch,eval_patk_onset_f1,eval_patk_note_f1,eval_onset_event_f1,eval_offset_event_f1
7,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_7.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_007/calibration.json,0.068,0.01,0.0874839504358551,0.0882597472415953,0.21356704367610607,0.02196594789372134,0.0021965903980668334,0.0939414517830677,0.08257804270012291
8,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_8.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_008/calibration.json,0.068,0.015,0.08605228010541444,0.08544216734008864,0.17244157735021778,0.02424241935861796,0.002203851865757697,0.08695651678453248,0.0839278178956448
9,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_9.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_009/calibration.json,0.068,0.015,0.08530856477207863,0.08516848369773719,0.17280694090624443,0.02430938737784049,0.00220993986428235,0.08351647863560589,0.08682048875986847
23,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_23.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_023/calibration.json,0.058,0.07,0.08472567896003438,0.08432899952330467,0.12039698058987719,0.014466541138540978,0.0012055405359468999,0.07904761440496626,0.08961038464164306
10,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_10.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_010/calibration.json,0.068,0.02,0.08614893375557209,0.08384689546766759,0.1617127576204106,0.023476797781224766,0.0022358810682243267,0.08225351621497351,0.08544027472036167
12,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_12.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_012/calibration.json,0.068,0.03,0.08420627764425138,0.08340051522038142,0.13847847450293266,0.020708441997242196,0.002179831643230441,0.08073929492749254,0.08606173551327029
26,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_26.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_026/calibration.json,0.063,0.07,0.07959415199633665,0.08319167419405624,0.12345996589710924,0.007467325438499894,0.0,0.07910155780929116,0.08728179057882131
31,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_31.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_031/calibration.json,0.068,0.07,0.08177233918194357,0.08281333390394781,0.12039698058987719,0.013546793043413165,0.001231522107622591,0.07927746640882857,0.08634920139906704
11,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_11.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_011/calibration.json,0.058,0.025,0.08435485912082978,0.082449721161932,0.14725926388151744,0.0209712975423543,0.002207500633078807,0.07919846863605642,0.08570097368780759
54,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_54.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_054/calibration.json,0.068,0.07,0.08148001631778906,0.08215816273858567,0.12345996589710924,0.012088645105993119,0.0013431783499417383,0.08165272525134619,0.08266360022582517
